tunecache	0.7.2	0.7.2	cpu_arch=x86_64,gpu_arch=sm_35,cuda_version=7000	# Last updated Fri Jan 29 22:21:00 2016

volume	name	aux	block.x	block.y	block.z	grid.x	grid.y	grid.z	shared_bytes	comment
16x16x16x8	N4quda11CopyGaugeExIddLi18ENS_11FloatNOrderIdLi18ELi2ELi8EEES2_EE	out_stride=16384,in_stride=18432,geometery=4	128	1	1	128	1	1	0	# 0.00 Gflop/s, 129.04 GB/s, tuned Wed Dec 16 16:39:40 2015
16x16x16x8	N4quda11CopyGaugeExIddLi18ENS_11FloatNOrderIdLi18ELi2ELi8EEES2_EE	out_stride=16384,in_stride=48000,geometery=4	96	1	1	171	1	1	0	# 0.00 Gflop/s, 117.24 GB/s, tuned Wed Dec 16 16:39:41 2015
16x16x16x8	N4quda8GaugeAPEIdNS_11FloatNOrderIdLi18ELi2ELi8EEES2_EE	threads=32768,prec=8	256	1	1	128	1	1	0	# 0.01 Gflop/s, 0.10 GB/s, tuned Wed Dec 16 16:39:41 2015
16x16x16x8	N4quda9GaugePlaqIdNS_11FloatNOrderIdLi18ELi2ELi8EEEEE	threads=16384,prec=8	64	2	1	256	1	1	6145	# 81.24 Gflop/s, 34.83 GB/s, tuned Wed Dec 16 16:39:40 2015
20x20x20x12	N4quda11CopyGaugeExIddLi18ENS_11FloatNOrderIdLi18ELi2ELi8EEES2_EE	out_stride=48000,in_stride=16384,geometery=4	320	1	1	52	1	1	16385	# 0.00 Gflop/s, 93.79 GB/s, tuned Wed Dec 16 16:39:41 2015
20x20x20x12	N4quda11CopyGaugeExIddLi18ENS_11FloatNOrderIdLi18ELi2ELi8EEES2_EE	out_stride=48000,in_stride=18432,geometery=4	320	1	1	52	1	1	16385	# 0.00 Gflop/s, 92.08 GB/s, tuned Wed Dec 16 16:39:40 2015
20x20x20x12	N4quda11CopyGaugeExIddLi18ENS_11FloatNOrderIdLi18ELi2ELi8EEES2_EE	out_stride=48000,in_stride=48000,geometery=4	288	1	1	167	1	1	0	# 0.00 Gflop/s, 158.53 GB/s, tuned Wed Dec 16 16:39:41 2015
20x20x20x12	N4quda14ExtractGhostExIdLi18ELi4ELi0ENS_11FloatNOrderIdLi18ELi2ELi8EEEEE	prec=8,stride=48000,extract=0,dimension=0	288	1	1	57	1	1	7022	# 0.00 Gflop/s, 56.50 GB/s, tuned Wed Dec 16 16:39:40 2015
20x20x20x12	N4quda14ExtractGhostExIdLi18ELi4ELi0ENS_11FloatNOrderIdLi18ELi2ELi8EEEEE	prec=8,stride=48000,extract=1,dimension=0	384	1	1	43	1	1	16385	# 0.00 Gflop/s, 80.68 GB/s, tuned Wed Dec 16 16:39:40 2015
20x20x20x12	N4quda14ExtractGhostExIdLi18ELi4ELi1ENS_11FloatNOrderIdLi18ELi2ELi8EEEEE	prec=8,stride=48000,extract=0,dimension=1	128	1	1	160	1	1	0	# 0.00 Gflop/s, 161.98 GB/s, tuned Wed Dec 16 16:39:40 2015
